id_cliente;nome;cidade_origem;estado_origem;faixa_etaria;tipo_cliente
1;Otavio Reis;São Paulo;SP;18-25;Corporativo
2;Larissa Sousa;Curitiba;SC;18-25;PF
3;Tatiana Coelho;Rio de Janeiro;CE;65+;Corporativo
4;Wilson Duarte;Brasília;AM;26-35;Corporativo
5;Gabriela Lima;Rio de Janeiro;SP;46-55;PF
6;Ulisses Brito;Brasília;RS;56-65;PF
7;Kleber Pires;São Paulo;ES;65+;PF
8;Olivia Freitas;Brasília;PA;18-25;Corporativo
9;Wesley Araujo;Belo Horizonte;ES;;Corporativo
10;Ivan Azevedo;Curitiba;PE;26-35;PF
11;Roberta Leite;São Paulo;PR;18-25;PF
12;Nicolas Cunha;Fortaleza;DF;65+;Corporativo
13;João Pereira;Recife;BA;26-35;PF
14;Larissa Sousa;Rio de Janeiro;SC;36-45;PF
15;Henrique Rocha;Recife;MG;;PF
16;Marcos Andrade;São Paulo;RS;;Corporativo
17;Roberta Leite;Salvador;GO;36-45;Corporativo
18;Gustavo Vieira;Curitiba;AM;26-35;PF
19;João Pereira;Brasília;PR;26-35;PF
20;Thiago Matos;Fortaleza;ES;;PF
21;Elena Santos;Salvador;AM;56-65;PF
22;Helena Borges;Curitiba;PA;56-65;Corporativo
23;Tatiana Coelho;Curitiba;BA;46-55;Corporativo
24;Elena Santos;Rio de Janeiro;PR;18-25;PF
25;Olivia Freitas;Curitiba;SP;18-25;Corporativo
26;Ivan Azevedo;São Paulo;MG;65+;Corporativo
27;Gabriela Lima;São Paulo;CE;46-55;Corporativo
28;Diego Ferreira;Fortaleza;SC;65+;Corporativo
29;Isabela Martins;São Paulo;SC;;Corporativo
30;Diego Ferreira;Belo Horizonte;CE;56-65;PF
31;Abel Correia;Rio de Janeiro;RS;46-55;PF
32;Yuri Castro;Fortaleza;BA;46-55;Corporativo
33;João Pereira;Brasília;ES;36-45;PF
34;Diego Ferreira;São Paulo;RJ;56-65;Corporativo
35;Lucas Souza;Curitiba;SP;56-65;PF
